,Issue_Time,Color,Make,Route,Fine_Amount,Binned
4144262,1908.0,BK,JEEP,00132,68.0,4
120803,1905.0,GY,TOYT,00620,68.0,4
2879064,2112.0,GY,HOND,00202,68.0,4
1901202,1142.0,GY,HYUN,00601,93.0,6
5552255,824.0,RD,TOYT,00644,73.0,5
1752087,1201.0,BK,PORS,00161,25.0,1
803205,1047.0,MR,INFI,00610,63.0,4
748672,829.0,BL,TOYT,00341,73.0,5
4152794,857.0,RD,STRN,00337,73.0,5
2743584,855.0,GY,MAZD,00675,73.0,5
3934614,1056.0,WT,CHEV,00651,68.0,4
1505193,2003.0,RD,VOLK,00108,58.0,3
5991115,1253.0,BK,CHRY,00600,63.0,4
5939908,1007.0,GY,FORD,00354,73.0,5
2371929,751.0,BK,VOLK,00500,73.0,5
1985064,1637.0,WT,CHEV,00642,63.0,4
3386341,1134.0,TN,TOYT,00453,58.0,3
3193672,1815.0,RD,MITS,00600,63.0,4
5671355,157.0,SL,HYUN,403A,68.0,4
2596392,1523.0,GY,INFI,00677,93.0,6
2428666,1102.0,BL,CHEV,00568,68.0,4
2010809,639.0,BK,TOYT,00118,73.0,5
2469147,648.0,BL,HYUN,00174,68.0,4
2503099,1820.0,GN,JEEP,00300,68.0,4
4464753,821.0,GY,BMW,00421,63.0,4
1248638,1258.0,BK,TOYT,00499,68.0,4
1953183,1235.0,BN,GRUM,00656,93.0,6
5008178,1242.0,SL,TOYT,00477,63.0,4
4101816,817.0,WT,TOYT,00476,73.0,5
3977936,1010.0,BL,DODG,WIL,25.0,1
5474020,1932.0,BK,VOLK,402A,68.0,4
4947420,1026.0,SL,FORD,00476,25.0,1
6658534,925.0,WT,DODG,00677,63.0,4
4612729,1500.0,BK,HOND,20M18,50.0,2
6643019,2202.0,WT,LEXS,00201,25.0,1
6478393,426.0,WT,CHEV,00600,93.0,6
5941612,933.0,BL,HOND,369B,63.0,4
4772718,1100.0,SL,TOYT,360R1,63.0,4
1609358,1227.0,GY,TOYT,00136,73.0,5
2863625,1307.0,GY,PONT,539BH,73.0,5
5149910,1236.0,BK,DODG,00557,73.0,5
3471638,1116.0,WT,TOYT,00301,68.0,4
1827037,1141.0,WT,ACUR,00185,93.0,6
3208982,1135.0,BK,CHEV,00558,93.0,6
2481427,1148.0,SL,VOLV,00113,93.0,6
3989902,845.0,BL,TOYT,00144,73.0,5
5965346,2150.0,BK,HOND,403B,93.0,6
6080272,841.0,BL,NISS,00600,25.0,1
6216251,216.0,BK,TOYT,501R,73.0,5
2393383,1552.0,WT,FORD,00472,68.0,4
5810926,932.0,WT,FORD,00665,93.0,6
1899568,1201.0,GN,FORD,00661,63.0,4
2096542,300.0,WT,TOYT,00315,68.0,4
3857748,1157.0,OT,TOYT,00330,63.0,4
6485147,515.0,GY,TOYT,00600,93.0,6
2367161,1022.0,WT,GMC,00471,73.0,5
6547338,813.0,SI,MITS,BEV,63.0,4
546467,1558.0,BN,GRUM,00600,93.0,6
650445,957.0,SL,HOND,00483,63.0,4
1768377,1554.0,RD,NISS,00402,63.0,4
979446,713.0,BK,DODG,00475,163.0,7
699810,921.0,BN,GRUM,00686,93.0,6
6542364,2037.0,WT,HOND,205B,68.0,4
3562763,1816.0,RD,FORD,00205,68.0,4
3523821,821.0,SL,MITS,00336,73.0,5
1944517,1149.0,SL,NISS,00448,58.0,3
5278479,1027.0,BK,HOND,00444,73.0,5
6526721,1608.0,RD,KIA,00500,163.0,7
3421281,1127.0,BN,NISS,00642,93.0,6
1099645,1330.0,WT,LEXS,00107,63.0,4
2435120,1941.0,GY,NISS,00402,63.0,4
2414055,1241.0,WT,TOYT,00161,73.0,5
6448358,805.0,WT,MAZD,00633,73.0,5
3772833,1644.0,SL,NISS,00400,93.0,6
248409,1027.0,WT,TOYT,00387,68.0,4
3944746,1212.0,BK,MERZ,00300,63.0,4
1159108,1330.0,BK,NISS,00001,363.0,8
449668,128.0,BK,ACUR,00315,68.0,4
2530410,1129.0,BK,HOND,00483,73.0,5
2139052,1836.0,BK,MERZ,00111,63.0,4
2546320,2311.0,WT,LEXS,00403,68.0,4
3278362,1150.0,SL,FORD,00500,73.0,5
2005968,823.0,WT,ISU,00658,93.0,6
5210707,211.0,WT,NISS,504A,73.0,5
713273,1405.0,WT,HOND,00635,73.0,5
6381206,211.0,BL,HYUN,00600,73.0,5
5137704,1027.0,WT,CHEV,00447,73.0,5
1321797,933.0,GN,TOYT,00568,73.0,5
3174477,822.0,GY,NISS,00142,63.0,4
4153554,2317.0,BK,TOYT,00402,68.0,4
3031283,1502.0,BL,HOND,00500,68.0,4
3003504,1413.0,GN,TOYT,396A,68.0,4
6006182,1254.0,SL,TOYT,00358,63.0,4
605211,810.0,GY,HYUN,00168,93.0,6
681592,47.0,GY,NISS,500,68.0,4
1015053,548.0,GR,MAZD,00602,25.0,1
6359632,2111.0,GY,TOYT,00401,68.0,4
2427446,1113.0,RD,HOND,533W,73.0,5
951631,1032.0,BK,LINC,00153,58.0,3
90166,1925.0,RD,TOYT,00401,25.0,1
4531396,1036.0,BK,FORD,178R1,58.0,3
2427024,944.0,SL,NISS,00341,73.0,5
2623337,1810.0,BK,RROV,00600,63.0,4
1277068,1204.0,WT,BMW,00144,73.0,5
1664719,1852.0,GY,TOYT,00672,25.0,1
1361601,2038.0,WT,JEEP,00111,63.0,4
3594624,1013.0,WT,FRHT,00655,93.0,6
82450,918.0,WT,FRHT,00658,93.0,6
1009392,1221.0,WT,FORD,00133,73.0,5
1740244,824.0,BK,LEXS,340R,73.0,5
3555604,1024.0,WT,LEXS,00451,73.0,5
2986888,1326.0,GY,CHEV,378R1,73.0,5
6047994,729.0,WT,CHEV,00475,93.0,6
3322733,826.0,GY,NISS,00300,73.0,5
1211446,819.0,WH,NISS,00146,73.0,5
3824407,808.0,WT,TOYT,00473,63.0,4
4251559,219.0,GY,INFI,00401,68.0,4
2912764,320.0,BK,HOND,00600,68.0,4
3967691,1251.0,WT,JEEP,00600,25.0,1
3025271,1227.0,BK,NISS,00157,73.0,5
3899856,1949.0,SL,NISS,00204,63.0,4
5551730,1218.0,RD,BMW,00474,25.0,1
2380368,1126.0,GY,NISS,00465,73.0,5
915481,829.0,WT,JEEP,00471,73.0,5
706645,937.0,RD,TOYT,00132,73.0,5
2711876,546.0,WT,BMW,00506,93.0,6
1323370,1224.0,GN,CHEV,00473,73.0,5
4024854,1029.0,WT,HYUN,00600,68.0,4
501961,2300.0,WT,KIA,504A,73.0,5
4848677,1123.0,SL,TOYT,00500,73.0,5
997315,1014.0,BL,HOND,00634,73.0,5
2405435,1705.0,BK,MITS,00202,68.0,4
6017696,813.0,BK,TOYT,354,73.0,5
6647579,1423.0,BN,OTHR,00600,93.0,6
5068594,1023.0,GR,JEEP,00405,68.0,4
2520723,1813.0,GN,NISS,00402,73.0,5
1901616,1207.0,BK,VOLV,00141,73.0,5
5189666,1225.0,GY,VOLK,00374,73.0,5
5722382,1026.0,BK,MERZ,00141,25.0,1
349875,1110.0,BL,BMW,00356,63.0,4
808473,1855.0,BK,LNDR,00204,73.0,5
2238357,1138.0,BK,LEXS,00365,63.0,4
6205769,1017.0,GY,HOND,378R1,68.0,4
5173534,1832.0,BK,MERZ,00317,25.0,1
5180745,1046.0,BK,MAZD,00445,73.0,5
6486953,1446.0,SL,VOLK,00463,58.0,3
3117726,1052.0,GY,BMW,158R1,73.0,5
1189619,1032.0,GO,TOYT,00133,73.0,5
6317671,1219.0,GY,TOYT,00460,73.0,5
1147291,1106.0,BL,CHEV,00483,63.0,4
1865474,1249.0,WT,FORD,00664,68.0,4
1110422,2303.0,RD,JEEP,00111,73.0,5
5061150,1028.0,BK,MAZD,360R1,63.0,4
1369727,1920.0,BK,DODG,00107,63.0,4
6128788,826.0,BL,MERZ,00141,73.0,5
5367146,1300.0,BK,VOLK,00634,73.0,5
2018213,2238.0,SL,HOND,00402,73.0,5
3233148,1100.0,WT,CHEV,00495,58.0,3
778074,1845.0,SL,GMC,00402,25.0,1
3347975,1807.0,BL,FORD,00401,63.0,4
2584297,753.0,WT,DODG,00541,73.0,5
2948542,737.0,BK,BMW,00502,73.0,5
992121,1009.0,GY,HOND,00543,73.0,5
1782477,1710.0,WT,AUDI,00111,63.0,4
3305141,1638.0,BK,FORD,00112,58.0,3
3021715,829.0,GY,BUIC,00568,73.0,5
150926,1205.0,RD,BMW,00461,73.0,5
2656861,1437.0,GY,HOND,00472,68.0,4
6062806,1230.0,BL,VOLK,00353,58.0,3
2737551,1005.0,BK,CHRY,00355,73.0,5
224280,1327.0,GY,GMC,103R,73.0,5
6147098,1443.0,BL,FORD,00361,58.0,3
16232,633.0,SL,TOYT,00500,25.0,1
2974697,1028.0,RD,STRN,00541,73.0,5
4460620,2048.0,BK,HOND,00600,93.0,6
1503976,1036.0,GY,JEEP,00141,73.0,5
661580,812.0,WT,LEXS,00474,63.0,4
6705789,829.0,SL,HOND,00367,73.0,5
6353438,1046.0,SL,HOND,00301,73.0,5
4382896,1037.0,GY,TOYT,00141,73.0,5
2598603,1031.0,GY,MAZD,00400,63.0,4
2358706,2021.0,SL,HOND,06001,58.0,3
1108717,808.0,MR,BUIC,322,68.0,4
5389207,950.0,WT,MNNI,00480,63.0,4
1399102,741.0,WT,MNNI,00131,73.0,5
6130616,2339.0,RD,HYUN,401B,68.0,4
4029822,1223.0,BK,LNDR,00389,63.0,4
5960726,1234.0,TN,CHEV,00141,73.0,5
1579772,808.0,GN,NISS,00361,73.0,5
2467554,916.0,BK,TOYT,00536,68.0,4
3533592,1338.0,BK,HOND,6T6,58.0,3
3843387,1606.0,RD,SUBA,00672,63.0,4
1489522,1355.0,BK,TOYT,00472,68.0,4
1580832,305.0,BK,CHEV,00602,25.0,1
1370488,2320.0,WT,VOLK,00402,68.0,4
2912367,1610.0,WT,SUZI,00905,73.0,5
673515,823.0,GY,AUDI,00147,63.0,4
2902846,838.0,BK,HOND,00375,73.0,5
4529692,1026.0,WT,JEEP,389R,25.0,1
4896192,1227.0,GY,FIAT,00142,25.0,1
2797393,141.0,GY,TOYT,00611,93.0,6
4022532,815.0,WT,TOYT,00448,73.0,5
1585474,1017.0,WT,NISS,00344,73.0,5
2606524,1141.0,SL,NISS,00465,93.0,6
1736320,1808.0,BL,VOLK,00474,63.0,4
5406116,1511.0,SL,NISS,00600,58.0,3
6266494,1435.0,GN,FORD,6T8,93.0,6
6041337,1211.0,BK,CHEV,00138,73.0,5
3191876,1027.0,SL,NISS,108R,25.0,1
1502731,847.0,GY,TOYT,00156,73.0,5
5662520,1133.0,GY,TOYT,00303,73.0,5
3718003,1133.0,SL,MITS,00393,63.0,4
1675237,1245.0,GY,HOND,00631,73.0,5
2731333,152.0,WT,FORD,00316,78.0,5
3839627,2053.0,WT,MERZ,00309,68.0,4
1962844,2236.0,RD,FORD,350A,25.0,1
5962683,1130.0,WT,FORD,00600,73.0,5
2079481,1211.0,WT,FORD,00471,63.0,4
3293513,1210.0,BK,TOYT,00601,63.0,4
6287323,1356.0,WT,BMW,00600,63.0,4
3760456,1256.0,WT,TOYT,00108,68.0,4
